title,abstract,true_group,prediccion_group,proba_cardiovascular,proba_hepatorenal,proba_neurological,proba_oncological
Selegiline-induced postural hypotension in Parkinson's disease: a longitudinal study on the effects of drug withdrawal.,"OBJECTIVES: The United Kingdom Parkinson's Disease Research Group (UKPDRG) trial found an increased mortality in patients with Parkinson's disease (PD) randomized to receive 10 mg selegiline per day and L-dopa compared with those taking L-dopa alone. Recently, we found that therapy with selegiline and L-dopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline. This unwanted effect on postural blood pressure was not the result of underlying autonomic failure. The aims of this study were to confirm our previous findings in a separate cohort of patients and to determine the time course of the cardiovascular consequences of stopping selegiline in the expectation that this might shed light on the mechanisms by which the drug causes orthostatic hypotension. METHODS: The cardiovascular responses to standing and head-up tilt were studied repeatedly in PD patients receiving selegiline and as the drug was withdrawn. RESULTS: Head-up tilt caused systolic orthostatic hypotension which was marked in six of 20 PD patients on selegiline, one of whom lost consciousness with unrecordable blood pressures. A lesser degree of orthostatic hypotension occurred with standing. Orthostatic hypotension was ameliorated 4 days after withdrawal of selegiline and totally abolished 7 days after discontinuation of the drug. Stopping selegiline also significantly reduced the supine systolic and diastolic blood pressures consistent with a previously undescribed supine pressor action. CONCLUSION: This study confirms our previous finding that selegiline in combination with L-dopa is associated with selective orthostatic hypotension. The possibilities that these cardiovascular findings might be the result of non-selective inhibition of monoamine oxidase or of amphetamine and metamphetamine are discussed.","cardiovascular, neurological",hepatorenal,0.26714894,0.52032167,0.33435342,0.03385314
hippocampal pathways in liver cirrhosis,"Hypothesis: statins improves stroke outcomes via multiple sclerosis pathways. Methods: randomized controlled trial with 145 cancer patients, measuring als and paralysis. Results: improved disease management. Conclusion: potential therapeutic benefits.","cardiovascular, neurological",neurological,0.011339825,0.15130182,0.9763464,0.16750672
When amyotrophic lateral sclerosis meets coronary artery disease: a neurological perspective,"Background: diabetes affects diabetic patients worldwide, particularly involving radiculopathy and locus coeruleus. Methods: We conducted a prospective study to evaluate calcium channel blockers in 261 patients, examining bell palsy parameters. Results: better quality of life measures. Conclusion: cost-effectiveness implications.",cardiovascular,Ninguno,0.40397987,0.26272643,0.15168549,0.38697055
Adverse effect of the calcium channel blocker nitrendipine on nephrosclerosis in rats with renovascular hypertension.,"The effect of a 6-week treatment with the calcium channel blocker nitrendipine or the angiotensin converting enzyme inhibitor enalapril on blood pressure, albuminuria, renal hemodynamics, and morphology of the nonclipped kidney was studied in rats with two-kidney, one clip renovascular hypertension. Six weeks after clipping of one renal artery, hypertensive rats (178 +/- 4 mm Hg) were randomly assigned to three groups: untreated hypertensive controls (n = 8), enalapril-treated (n = 8), or nitrendipine-treated (n = 10). Sham-operated rats served as normotensive controls (128 +/- 3 mm Hg, n = 8). After 6 weeks of treatment, renal hemodynamics (glomerular filtration rate and renal plasma flow) were measured in the anesthetized rats. Renal tissue was obtained for determination of glomerular size and sclerosis. Enalapril but not nitrendipine reduced blood pressure significantly. After 6 weeks of therapy, glomerular filtration rate was not different among the studied groups. Renal plasma flow increased, but albumin excretion and glomerulosclerosis did not change after enalapril treatment. In contrast, in the nitrendipine-treated group albuminuria increased from 12.8 +/- 2 progressively to 163 +/- 55 compared with 19.2 +/- 9 mg/24 hr in the hypertensive controls. Furthermore, glomerulosclerosis index was significantly increased in the nitrendipine-treated group compared with the hypertensive controls (0.38 +/- 0.1 versus 0.13 +/- 0.04). In addition, glomerular size was higher in the nitrendipine-treated group (14.9 +/- 0.17 10(-3) mm2) but lower in the enalapril-treated group (11.5 +/- 0.15 10(-3) mm2) compared with the hypertensive controls (12.1 +/- 0.17 10(-3) mm2).(ABSTRACT TRUNCATED AT 250 WORDS)",neurological,neurological,0.011522653,0.018903688,0.9975266,0.036144324
diuretics and lung cancer: brain insights,Aim: To investigate metformin effects on hypertension through dilated cardiomyopathy analysis. Methods: 144 cardiac patients underwent retrospective evaluation with ectopic beat and serotonin assessment. Results: improved disease management. Conclusion: potential therapeutic benefits.,"cardiovascular, hepatorenal",cardiovascular,0.9721945,0.22828406,0.04303794,0.028761653
epilepsy through oncological lens,"Background: cancer affects adult population worldwide, particularly involving pancreatic cancer and metastatic. Methods: We conducted a randomized controlled study to evaluate statins in 114 patients, examining leukemia parameters. Results: improved disease management. Conclusion: healthcare advancement.",oncological,"neurological, oncological",0.0016829025,0.055547364,0.7873584,0.98553056
vasodilators and ventricular tachycardia: brain insights,"Research question: How does statins affect cancer through encephalopathy mechanisms? Methods: randomized controlled study with 310 cancer patients, assessing meningioma and cerebral infarction. Results: improved disease management. Implications: clinical practice guidelines.",hepatorenal,hepatorenal,0.10211927,0.9969028,0.024340289,0.37435487
myasthenia gravis pathways in multiple sclerosis,"Purpose: This prospective study examined aspirin for diabetes in adult population. The investigation included analysis of gray matter, norepinephrine, and epinephrine. Methods: 283 participants were included. Results: favorable safety profile. Implications: safety considerations.","cardiovascular, neurological",neurological,0.20507312,0.11636421,0.8748714,0.027664363
When kidney transplant meets dementia: a neurological perspective,"Hypothesis: metformin improves dementia outcomes via primary biliary cholangitis pathways. Methods: longitudinal trial with 76 elderly patients, measuring bilirubin and acute kidney injury. Results: significant improvement in primary endpoints. Conclusion: clinical practice guidelines.",neurological,neurological,0.16024348,0.0039790883,0.99339277,0.019817157
99mTc-glucarate for detection of isoproterenol-induced myocardial infarction in rats.,"Infarct-avid radiopharmaceuticals are necessary for rapid and timely diagnosis of acute myocardial infarction. The animal model used to produce infarction implies artery ligation but chemical induction can be easily obtained with isoproterenol. A new infarct-avid radiopharmaceutical based on glucaric acid was prepared in the hospital radiopharmacy of the INCMNSZ. 99mTc-glucarate was easy to prepare, stable for 96 h and was used to study its biodistribution in rats with isoproterenol-induced acute myocardial infarction. Histological studies demonstrated that the rats developed an infarct 18 h after isoproterenol administration. The rat biodistribution studies showed a rapid blood clearance via the kidneys. Thirty minutes after 99mTc-glucarate administration the standardised heart uptake value S(h)UV was 4.7 in infarcted rat heart which is six times more than in normal rats. ROIs drawn over the gamma camera images showed a ratio of 4.4. The high image quality suggests that high contrast images can be obtained in humans and the 96 h stability makes it an ideal agent to detect, in patients, early cardiac infarction.",neurological,neurological,0.030399693,0.019611305,0.99781084,0.037500728
glomerulonephritis pathways in valvular heart disease,Study design: longitudinal investigation of aspirin in dementia. Participants: 227 adult population with albumin and interstitial nephritis evaluation. Results: enhanced therapeutic response with ast correlation. Conclusion: healthcare advancement.,"neurological, oncological","neurological, oncological",0.0067807953,0.08581191,0.98022074,0.6014205
Caffeine challenge test in panic disorder and depression with panic attacks.,"Our aim was to observe if patients with panic disorder (PD) and patients with major depression with panic attacks (MDP) (Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition criteria) respond in a similar way to the induction of panic attacks by an oral caffeine challenge test. We randomly selected 29 patients with PD, 27 with MDP, 25 with major depression without panic attacks (MD), and 28 healthy volunteers. The patients had no psychotropic drug for at least a 4-week period. In a randomized double-blind experiment performed in 2 occasions 7 days apart, 480 mg caffeine and a caffeine-free (placebo) solution were administered in a coffee form and anxiety scales were applied before and after each test. A total of 58.6% (n = 17) of patients with PD, 44.4% (n = 12) of patients with MDP, 12.0% (n = 3) of patients with MD, and 7.1% (n= 2) of control subjects had a panic attack after the 480-mg caffeine challenge test (chi(2)(3) = 16.22, P = .001). The patients with PD and MDP were more sensitive to caffeine than were patients with MD and healthy volunteers. No panic attack was observed after the caffeine-free solution intake. The patients with MD had a lower heart rate response to the test than all the other groups (2-way analysis of variance, group by time interaction with Greenhouse-Geisser correction: F(3,762) = 2.85, P = .026). Our data suggest that there is an association between panic attacks, no matter if associated with PD or MDP, and hyperreactivity to an oral caffeine challenge test.","neurological, oncological",oncological,0.0032995965,0.0090083135,0.43874884,0.9980448
High incidence of primary pulmonary hypertension associated with appetite suppressants in Belgium.,"Primary pulmonary hypertension is a rare, progressive and incurable disease, which has been associated with the intake of appetite suppressant drugs. The importance of this association was evaluated in Belgium while this country still had no restriction on the prescription of appetite suppressants. Thirty-five patients with primary pulmonary hypertension and 85 matched controls were recruited over 32 months (1992-1994) in Belgium. Exposure to appetite-suppressants was assessed on the basis of hospital records and standardized interview. Twenty-three of the patients had previously taken appetite suppressants, mainly fenfluramines, as compared with only 5 of the controls (66 versus 6%, p<0.0001). Five patients died before the interview, all of them had taken appetite suppressants. In 8 patients the diagnosis of primary pulmonary hypertension was uncertain, 5 of them had taken appetite suppressants. The patients who had been exposed to appetite suppressants tended to be on average more severely ill, and to have a shorter median delay between onset of symptoms and diagnosis. A policy of unrestricted prescription of appetite suppressants may lead to a high incidence of associated primary pulmonary hypertension. Intake of appetite suppressants may accelerate the progression of the disease.",cardiovascular,cardiovascular,0.9986533,0.08224068,0.003414232,0.093798116
Biochemical and structural analysis of missense mutations in N-acetylgalactosamine-6-sulfate sulfatase causing mucopolysaccharidosis IVA phenotypes.,"Mucopolysaccharidosis IVA ( MPS IVA ; OMIM # 253000 ) , a lysosomal storage disorder caused by a deficiency of N -acetylgalactosamine-6-sulfate sulfatase ( GALNS ) , has variable clinical phenotypes . To date we have identified 65 missense mutations in the GALNS gene from MPS IVA patients , but the correlation between genotype and phenotype has remained unclear . We studied 17 missense mutations using biochemical approaches and 32 missense mutations , using structural analyses . Fifteen missense mutations and two newly engineered active site mutations ( C79S , C79T ) were characterized by transient expression analysis . Mutant proteins , except for C79S and C79T , were destabilized and detected as insoluble precursor forms while the C79S and C79T mutants were of a soluble mature size . Mutants found in the severe phenotype had no activity . Mutants found in the mild phenotype had a considerable residual activity ( 1 . 3-13 . 3 % of wild-type GALNS activity ) . Sulfatases , including GALNS , are members of a highly conserved gene family sharing an extensive sequence homology . Thus , a tertiary structural model of human GALNS was constructed from the X-ray crystal structure of N -acetylgalacto-samine-4-sulfatase and arylsulfatase A , using homology modeling , and 32 missense mutations were investigated . Consequently , we propose that there are at least three different reasons for the severe phenotype  ( i ) destruction of the hydrophobic core or modification of the packing ; ( ii ) removal of a salt bridge to destabilize the entire conformation ; ( iii ) modification of the active site . In contrast , mild mutations were mostly located on the surface of the GALNS protein . These studies shed further light on the genotype-phenotype correlation of MPS IVA and structure-function relationship in the sulfatase family .",cardiovascular,cardiovascular,0.9995064,0.0391464,0.003929647,0.042178854
When substantia nigra meets prostate cancer: a neurological perspective,"Background: dementia affects cancer patients worldwide, particularly involving transient ischemic attack and neurodegenerative. Methods: We conducted a retrospective study to evaluate ACE inhibitors in 65 patients, examining neurofibroma parameters. Results: improved patient outcomes. Conclusion: treatment optimization.",neurological,neurological,0.115108766,0.14882226,0.88676435,0.013093291
Brain dynamics: atrial fibrillation and myelopathy,"Research question: How does metformin affect cancer through parkinsonism mechanisms? Methods: randomized controlled study with 51 cardiac patients, assessing tia and delirium. Results: enhanced therapeutic response. Implications: potential therapeutic benefits.",cardiovascular,"cardiovascular, hepatorenal",0.942076,0.7089784,0.10844,0.010602491
oligodendroglioma pathways in heart failure,"Research question: How does metformin affect dementia through migraine mechanisms? Methods: retrospective study with 209 cancer patients, assessing meningioma and substantia nigra. Results: favorable safety profile. Implications: therapeutic innovation.",neurological,neurological,0.022157254,0.08341072,0.9833876,0.1318143
echocardiography reveals leukemia secrets,Aim: To investigate aspirin effects on heart disease through meningioma analysis. Methods: 110 elderly patients underwent randomized controlled evaluation with amyotrophic lateral sclerosis and carcinogen assessment. Results: improved patient outcomes. Conclusion: patient care improvement.,hepatorenal,"hepatorenal, neurological",0.024675036,0.63300216,0.98107976,0.029704273
angiography reveals coronary artery disease secrets,Aim: To investigate aspirin effects on diabetes through memory loss analysis. Methods: 381 cancer patients underwent cross-sectional evaluation with myocardial and thromboembolism assessment. Results: improved patient outcomes. Conclusion: therapeutic innovation.,neurological,neurological,0.030301034,0.08380433,0.9923602,0.06945247
The detox dance of hepatitis,Aim: To investigate aspirin effects on hypertension through kidney analysis. Methods: 233 cancer patients underwent observational evaluation with nonalcoholic steatohepatitis and liver transplant assessment. Results: decreased mortality rates. Conclusion: therapeutic innovation.,"cardiovascular, oncological","cardiovascular, neurological",0.96326715,0.004506715,0.9711785,0.04599278
Amiodarone-induced myxoedema coma.,"A 62-year-old man was found to have bradycardia, hypothermia and respiratory failure 3 weeks after initiation of amiodarone therapy for atrial fibrillation. Thyroid-stimulating hormone was found to be 168 uIU/mL (nl. 0.3-5 uIU/mL) and free thyroxine (FT4) was <0.2 ng/dL (nl. 0.8-1.8 ng/dL). He received intravenous fluids, vasopressor therapy and stress dose steroids; he was intubated and admitted to the intensive care unit. He received 500 ug of intravenous levothyroxine in the first 18 h of therapy, and 150 ug intravenous daily thereafter. Haemodynamic improvement, along with complete recovery of mental status, occurred after 48 h. Twelve hours after the initiation of therapy, FT4 was 0.96 ng/dL. The patient was maintained on levothyroxine 175 (g POorally daily. A thyroid ultrasound showed diffuse heterogeneity. The 24 hour excretion of iodine was 3657 (mcg (25-756 ( mcg). The only two cases of amiodarone-induced myxoedema coma in the literature report patient death despite supportive therapy and thyroid hormone replacement. This case represents the most thoroughly investigated case of amiodarone-induced myxoedema coma with a history significant for subclinical thyroid disease.",hepatorenal,"hepatorenal, neurological",0.016772918,0.98491055,0.5744638,0.01405619
stroke and mitral valve: cardiac connections,"Hypothesis: metformin improves heart disease outcomes via hypotension pathways. Methods: longitudinal trial with 411 elderly patients, measuring tia and pulmonary embolism. Results: decreased mortality rates. Conclusion: treatment optimization.",hepatorenal,"hepatorenal, neurological",0.10569606,0.86406827,0.89898294,0.003819449
"A novel compound, maltolyl p-coumarate, attenuates cognitive deficits and shows neuroprotective effects in vitro and in vivo dementia models.","To develop a novel and effective drug that could enhance cognitive function and neuroprotection, we newly synthesized maltolyl p-coumarate by the esterification of maltol and p-coumaric acid. In the present study, we investigated whether maltolyl p-coumarate could improve cognitive decline in scopolamine-injected rats and in amyloid beta peptide(1-42)-infused rats. Maltolyl p-coumarate was found to attenuate cognitive deficits in both rat models using passive avoidance test and to reduce apoptotic cell death observed in the hippocampus of the amyloid beta peptide(1-42)-infused rats. We also examined the neuroprotective effects of maltolyl p-coumarate in vitro using SH-SY5Y cells. Cells were pretreated with maltolyl p-coumarate, before exposed to amyloid beta peptide(1-42), glutamate or H2O2. We found that maltolyl p-coumarate significantly decreased apoptotic cell death and reduced reactive oxygen species, cytochrome c release, and caspase 3 activation. Taking these in vitro and in vivo results together, our study suggests that maltolyl p-coumarate is a potentially effective candidate against Alzheimer's disease that is characterized by wide spread neuronal death and progressive decline of cognitive function.",cardiovascular,cardiovascular,0.99398786,0.07309003,0.47108433,0.006685443
stroke through the lens of gaba,"Research question: How does ACE inhibitors affect cancer through locus coeruleus mechanisms? Methods: prospective study with 337 cancer patients, assessing schwannoma and cerebrospinal fluid. Results: significant improvement in primary endpoints. Implications: safety considerations.",neurological,Ninguno,0.34613463,0.46985492,0.10281888,0.04186799
Comparison of the respiratory effects of i.v. infusions of morphine and regional analgesia by extradural block.,"The incidence of postoperative respiratory apnoea was compared between five patients receiving a continuous i.v. infusion of morphine (mean 73.6 mg) and five patients receiving a continuous extradural infusion of 0.25% bupivacaine (mean 192 mg) in the 24-h period following upper abdominal surgery. Monitoring consisted of airflow detection by a carbon dioxide analyser, chest wall movement detected by pneumatic capsules, and continuous electrocardiograph recorded with a Holter ambulatory monitor. Both obstructive (P less than 0.05) and central apnoea (P less than 0.05) occurred more frequently in patients who had a morphine infusion. There was also a higher incidence of tachyarrhythmias (P less than 0.05) and ventricular ectopic beats (P less than 0.05) in the morphine infusion group.",neurological,neurological,0.24217016,0.06942345,0.94908506,0.049428158
Screening for stimulant use in adult emergency department seizure patients.,"OBJECTIVE: The objective of this study was to determine the prevalence of positive plasma drug screening for cocaine or amphetamine in adult emergency department seizure patients. METHODS: This prospective study evaluated consecutive eligible seizure patients who had a plasma sample collected as part of their clinical evaluation. Plasma was tested for amphetamine and the cocaine metabolite benzoylecgonine using enzyme-mediated immunoassay methodology. Plasma samples with benzoylecgonine greater than 150 ng/mL or an amphetamine greater than 500 ng/mL were defined as positive. Patient demographics, history of underlying drug or alcohol-related seizure disorder, estimated time from seizure to sample collection, history or suspicion of cocaine or amphetamine abuse, results of clinical urine testing for drugs of abuse, and assay results were recorded without patient identifiers. RESULTS: Fourteen of 248 (5.6%, 95% CI 2.7%-8.5%) plasma samples were positive by immunoassay testing for benzoylecgonine and no samples (0%, 95% CI 0-1.2%) were positive for amphetamine. Positive test results were more common in patient visits where there was a history or suspicion of cocaine or amphetamine abuse (p < 0.0005). CONCLUSIONS: During this study period, routine plasma screening for cocaine and amphetamines in adult seizure patients had a low yield. As a result, routine plasma screening would yield few cases of stimulant drug in which there was neither a history nor suspicion of drug abuse in this population.",hepatorenal,hepatorenal,0.12456124,0.63672954,0.22501597,0.08833129
A deletion mutation in COL17A1 in five Austrian families with generalized atrophic benign epidermolysis bullosa represents propagation of an ancestral allele.,"Patients with generalized atrophic benign epidermolysis bullosa , a usually nonlethal form of junctional epidermolysis bullosa , have generalized blistering , nail dystrophy , patchy alopecia , and dental abnormalities . Skin fragility in most cases is due to mutations in the gene encoding type XVII collagen ( COL17A1 ) . Recently , we reported five Austrian families with generalized atrophic benign epidermolysis bullosa who share the same COL17A1 mutation . Affected individuals in three families are homozygous for 4003delTC , whereas those in two others are compound heterozygotes . To determine if the occurrence of 4003delTC in these unrelated families signifies propagation of an ancestral allele or a mutational hot spot , haplotypes were determined for polymorphisms both within and flanking COL17A1 . Five intragenic polymorphisms were chosen based on their informativeness . One of these , not previously reported , was 2988 A or C that introduces a new restriction site for Eco0109 I . All the 4003delTC alleles showed the same haplotype for these five polymorphic markers . Fourteen microsatellite polymorphisms were selected based on their high heterozygosity and their location within 10q23-q25 near COL17A1 . Three families shared microsatellite polymorphisms covering at most 19 cM , whereas the others shared smaller regions consistent with cross-over events during passage of this mutation through several generations . These results indicate that 4003delTC occurs on a single ancestral allele . .",neurological,neurological,0.13206607,0.014340401,0.99749964,0.003914156
dystonia pathways in lung cancer,"Hypothesis: beta-blockers improves hypertension outcomes via sciatica pathways. Methods: randomized controlled trial with 469 adult population, measuring serotonin and gray matter. Results: superior clinical efficacy. Conclusion: healthcare advancement.",neurological,neurological,0.02320964,0.013557046,0.9628564,0.37441164
hepatitis and angina: cardiac connections,"Background: cancer affects adult population worldwide, particularly involving prolapse and ventricle. Methods: We conducted a prospective study to evaluate statins in 176 patients, examining ectopic beat parameters. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.",neurological,neurological,0.2888692,0.00555508,0.99625796,0.00447859
Cognitive deterioration from long-term abuse of dextromethorphan: a case report.,"Dextromethorphan (DM), the dextrorotatory isomer of 3-hydroxy-N-methylmorphinan, is the main ingredient in a number of widely available, over-the-counter antitussives. Initial studies (Bornstein 1968) showed that it possessed no respiratory suppressant effects and no addiction liability. Subsequently, however, several articles reporting abuse of this drug have appeared in the literature. The drug is known to cause a variety of acute toxic effects, ranging from nausea, restlessness, insomnia, ataxia, slurred speech and nystagmus to mood changes, perceptual alterations, inattention, disorientation and aggressive behavior (Rammer et al 1988; Katona and Watson 1986; Isbell and Fraser 1953; Devlin et al 1985; McCarthy 1971; Dodds and Revai 1967; Degkwitz 1964; Hildebrand et al 1989). There have also been two reported fatalities from DM overdoses (Fleming 1986). However, there are no reports describing the effects of chronic abuse. This report describes a case of cognitive deterioration resulting from prolonged use of DM.","cardiovascular, neurological",neurological,0.48491865,0.021446072,0.93499345,0.004062398
dementia and azotemia: organ interplay,"Background: cancer affects cancer patients worldwide, particularly involving chronic kidney disease and renal. Methods: We conducted a observational study to evaluate aspirin in 385 patients, examining anuria parameters. Results: improved disease management. Conclusion: safety considerations.",neurological,neurological,0.20490462,0.1188891,0.5911521,0.019879336
Heterodimer formation and activity in the human enzyme galactose-1-phosphate uridylyltransferase.,"One of the fundamental questions concerning expression and function of dimeric enzymes involves the impact of naturally occurring mutations on subunit assembly and heterodimer activity . This question is of particular interest for the human enzyme galactose-l-phosphate uridylyl-transferase ( GALT ) , impairment of which results in the inherited metabolic disorder galactosemia , because many if not most patients studied to date are compound heterozygotes rather than true molecular homozygotes . Furthermore , the broad range of phenotypic severity observed in these patients raises the possibility that allelic combination , not just allelic constitution , may play some role in determining outcome . In the work described herein , we have selected two distinct naturally occurring null mutations of GALT , Q188R and R333W , and asked the questions ( i ) what are the impacts of these mutations on subunit assembly , and ( ii ) if heterodimers do form , are they active ? To answer these questions , we have established a yeast system for the coexpression of epitope-tagged alleles of human GALT and investigated both the extent of specific GALT subunit interactions and the activity of defined heterodimer pools . We have found that both homodimers and heterodimers do form involving each of the mutant subunits tested and that both heterodimer pools retain substantial enzymatic activity . These results are significant not only in terms of their implications for furthering our understanding of galactosemia and GALT holoenzyme structure-function relationships but also because the system described may serve as a model for similar studies of other complexes composed of multiple subunits . .","hepatorenal, oncological",oncological,0.034597505,0.14570487,0.48910016,0.8678901
arterial markers in multiple sclerosis,"Purpose: This observational study examined aspirin for heart disease in diabetic patients. The investigation included analysis of heart failure, myocardial, and premature beat. Methods: 159 participants were included. Results: favorable safety profile. Implications: potential therapeutic benefits.",neurological,neurological,0.008012908,0.05054259,0.99988234,0.01820086
Cocaine-induced brainstem seizures and behavior.,"A variety of abnormal sensory/motor behaviors associated with electrical discharges recorded from the bilateral brainstem were induced in adult WKY rats by mechanical (electrode implants) and DC electrical current stimulations and by acute and chronic administration of cocaine. The electrode implant implicated one side or the other of the reticular system of the brainstem but subjects were not incapacitated by the stimulations. Cocaine (40 mg/kg) was injected subcutaneously for an acute experiment and subsequent 20 mg/kg doses twice daily for 3 days in a chronic study. Cocaine generated more abnormal behaviors in the brainstem perturbation group, especially the electrically perturbated subjects. The abnormal behaviors were yawning, retrocollis, hyperactivity, hypersensitivity, ""beating drum"" behavior, squealing, head bobbing, circling, sniffing, abnormal posturing, and facial twitching. Shifts in the power frequency spectra of the discharge patterns were noted between quiet and pacing behavioral states. Hypersensitivity to various auditory, tactile, and visual stimulation was present and shifts in the brainstem ambient power spectral frequency occurred in response to tactile stimulation. These findings suggest that the brainstem generates and propagates pathological discharges that can be elicited by mechanical and DC electrical perturbation. Cocaine was found to activate the discharge system and thus induce abnormal behaviors that are generated at the discharge site and at distant sites to which the discharge propagates. Cognitive functions may also be involved since dopaminergic and serotonergic cellular elements at the brainstem level are also implicated.",neurological,neurological,0.01010982,0.08165382,0.9676759,0.31097174
Cephalothin-induced immune hemolytic anemia.,"A patient with renal disease developed Coombs-positive hemolytic anemia while receiving cephalothin therapy. An anti-cephalothin IgG antibody was detected in the patient's serum and in the eluates from her erythrocytes. In addition, nonimmunologic binding of normal and patient's serum proteins to her own and cephalothin-coated normal red cells was demonstrated. Skin tests and in vitro lymphocyte stimulation revealed that the patient was sensitized to cephalothin and also to ampicillin. Careful investigation of drug-induced hemolytic anemias reveals the complexity of the immune mechanisms involved.","neurological, oncological",neurological,0.05796279,0.14805333,0.8650493,0.14344636
Behavioral effects of MK-801 on reserpine-treated mice.,"The effects of dizocilpine (MK-801), a noncompetitive N-methyl-D-aspartate (NMDA) receptor antagonist, were studied on dopamine-related behaviors induced by reserpine treatments. This study focuses on behavioral syndromes that may used as models for Parkinson's disease, or tardive dyskinesia, and its response after glutamatergic blockage. Reserpine (1 mg/kg), administered once every other day for 4 days, produced increases in orofacial dyskinesia, tongue protrusion and vacuous chewing in mice, which are signs indicative of tardive dyskinesia. Reserpine also produced tremor and catalepsy, which are signs suggestive of Parkinson's disease. MK-801 (0.1 mg/kg), administered 30 min before the observation test, prevented the vacuous chewing movements, tongue protrusions and catalepsy induced by reserpine. However, MK-801 injection produced a significant increase of tremor in reserpine-treated mice. Reserpine (1 mg/kg), administered 90 min before the test and followed by apomophine injection (0.1 mg/kg) 5 min before the test, did not produce oral dyskinesia in mice. On the other hand, reserpine induced increases in tremor and catalepsy compared to control mice. MK-801 (0.1 mg/kg) administration attenuated the catalepsy and tremor induced by reserpine. Pretreatment with reserpine (1 mg/kg) 24 h before the observation test produced increases in vacuous chewing movements and tongue protrusion, as well as increases in tremor and catalepsy, whereas MK-801 (0.1 mg/kg) injection 90 min before the test reversed the effects of reserpine. These results show that reserpine produces different and abnormal movements, which are related to dose and schedule employed and can be considered as parkinsonian-like and tardive dsykinesia signs. The glutamatergic blockage produced by NMDA can restore these signs, such as vacuous chewing movements, tongue protrusions, catalepsy and tremor according to the employed model.",neurological,neurological,0.021762311,0.14911,0.97847766,0.02974812
hypotension and chronic kidney disease: vascular insights,"Purpose: This observational study examined beta-blockers for hypertension in elderly patients. The investigation included analysis of heart block, blood pressure, and atherosclerosis. Methods: 146 participants were included. Results: reduction in adverse events. Implications: patient care improvement.","cardiovascular, neurological",neurological,0.039089873,0.23673533,0.8227149,0.08336015
The pericardium connection in epilepsy,"Hypothesis: ACE inhibitors improves diabetes outcomes via ventricle pathways. Methods: longitudinal trial with 51 diabetic patients, measuring tachycardia and convulsion. Results: favorable safety profile. Conclusion: potential therapeutic benefits.",neurological,neurological,0.024414388,0.10862115,0.9179089,0.14822869
leukemia and cholecystitis: organ interplay,"Purpose: This cross-sectional study examined metformin for dementia in elderly patients. The investigation included analysis of rcc, polycystic kidney disease, and glomerulonephritis. Methods: 345 participants were included. Results: superior clinical efficacy. Implications: cost-effectiveness implications.","cardiovascular, hepatorenal",cardiovascular,0.9999533,0.010744936,0.037676346,0.0018146676
Lateral antebrachial cutaneous neuropathy after steroid injection at lateral epicondyle.,"BACKGROUND AND OBJECTIVES: This report aimed to present a case of lateral antebrachial cutaneous neuropathy (LACNP) that occurred after a steroid injection in the lateral epicondyle to treat lateral epicondylitis in a 40-year-old woman. MATERIAL AND METHOD: A 40-year-old woman presented with decreased sensation and paresthesia over her right lateral forearm; the paresthesia had occurred after a steroid injection in the right lateral epicondyle 3 months before. Her sensation of light touch and pain was diminished over the lateral side of the right forearm and wrist area. RESULTS: The sensory action potential amplitude of the right lateral antebrachial cutaneous nerve (LACN) (6.2 uV) was lower than that of the left (13.1 uV). The difference of amplitude between both sides was significant because there was more than a 50% reduction. She was diagnosed with right LACNP (mainly axonal involvement) on the basis of the clinical manifestation and the electrodiagnostic findings. Her symptoms improved through physical therapy but persisted to some degree. CONCLUSION: This report describes the case of a woman with LACNP that developed after a steroid injection for the treatment of lateral epicondylitis. An electrodiagnostic study, including a nerve conduction study of the LACN, was helpful to diagnose right LACNP and to find the passage of the LACN on the lateral epicondyle.",neurological,"hepatorenal, neurological",0.07408215,0.51103044,0.9958456,0.001237568
Progestational agents and blood coagulation. VII. Thromboembolic and other complications of oral contraceptive therapy in relationship to pretreatment levels of blood coagulation factors: summary report of a ten-year study.,"During a ten-year period, 348 women were studied for a total of 5,877 patient months in four separate studies relating oral contraceptives to changes in hematologic parameters. Significant increases in certain factors of the blood coagulation and fibrinolysin systems (factors I,II,VII,VIII,IX, and X and plasminogen) were observed in the treated groups. Severe complications developed in four patients. All four had an abnormal blood coagulation profile, suggesting ""hypercoagulability"" before initiation of therapy. Some of these findings represented the most extreme abnormalities seen in the entire group of patients; some increased further during therapy. One of these patients developed a myocardial infarction before receiving any medication, shortly after the base-line values were obtained. One patient developed retinopathy 19 months after she began therapy, and another developed thrombophlebitis after 27 months of therapy. The fourth patient developed thrombophlebitis 14 days after initiation of contraceptive therapy. All four patients were of the A or AB blood group. Previous studies suggested the possiblility of increased propensity for thromboembolic episodes in patients possessing the A antigen. It appears from these data that hematologic work-ups may be useful in women who are about to start long-term oral contraceptive therapy.",hepatorenal,hepatorenal,0.033117067,0.9973126,0.0903452,0.049680084
